4000016, 1.93114e+06, 1.93114, 0.00193114
4000016, 1.942e+06, 1.942, 0.001942
4000016, 1.94009e+06, 1.94009, 0.00194009
4000016, 1.94697e+06, 1.94697, 0.00194697
4000016, 1.93496e+06, 1.93496, 0.00193496
4000016, 1.9502e+06, 1.9502, 0.0019502
4000016, 1.93906e+06, 1.93906, 0.00193906
4000016, 1.93481e+06, 1.93481, 0.00193481
4000016, 1.93626e+06, 1.93626, 0.00193626
4000016, 1.93384e+06, 1.93385, 0.00193385
